S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,-,908.00,937.00,908.00,931.00,931.00,0.00,0.00,922.12,639.00,920.00,"589,233.10",27,11.00,29.00,1.20,3.19,0.95,"1,033.79","1,041.34","1,284.90",900.00
2,ADBL,-,294.80,295.00,292.10,293.00,293.00,0.00,0.00,294.01,"17,448.00",292.00,"5,129,810.80",136,1.00,2.90,0.34,0.99,-0.34,312.38,304.00,344.90,272.30
3,ADBLD83,-,"1,092.10","1,092.10","1,092.10","1,092.00","1,092.00",0.00,0.00,"1,092.06",25.00,"1,107.00","27,301.60",2,-15.00,0.00,-1.36,0.00,-0.01,"1,100.64","1,102.27","1,160.00","1,046.00"
4,AHL,-,540.00,561.00,532.00,560.00,560.00,0.00,0.00,549.96,"14,572.00",533.30,"8,013,960.10",187,26.70,29.00,5.01,5.45,1.79,619.47,643.13,891.00,532.00
5,AHPC,-,260.90,261.60,258.00,260.50,260.50,0.00,0.00,260.33,"63,265.00",259.00,"16,469,471.60",311,1.50,3.60,0.58,1.40,0.07,286.71,284.02,334.00,242.00
6,AKJCL,-,190.10,193.50,190.00,192.60,192.60,0.00,0.00,192.31,"89,437.00",190.80,"17,199,884.30",228,1.80,3.50,0.94,1.84,0.15,198.51,201.32,233.50,172.90
7,AKPL,-,243.00,247.00,242.00,244.90,244.90,0.00,0.00,244.93,"87,311.00",242.50,"21,385,496.90",228,2.40,5.00,0.99,2.07,-0.01,254.49,251.60,306.50,216.10
8,ALBSL,-,"1,197.60","1,231.90","1,197.60","1,224.00","1,224.00",0.00,0.00,"1,219.43","21,836.00","1,222.00","26,627,505.90",229,2.00,34.30,0.16,2.86,0.37,997.48,938.01,"1,237.90",771.00
9,ALICL,-,461.90,467.00,460.40,466.00,466.00,0.00,0.00,463.70,"26,018.00",461.90,"12,064,440.60",178,4.10,6.60,0.89,1.43,0.49,482.65,549.48,831.00,430.00
10,ANLB,-,"6,025.00","6,085.00","6,000.00","6,083.90","6,083.90",0.00,0.00,"6,013.17",238.00,"6,082.00","1,431,135.30",21,1.90,85.00,0.03,1.42,1.16,"5,970.37","5,749.88","6,800.00","4,673.00"
