S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
294,SPDL,-,324.00,325.00,314.00,315.52,317.55,"59,031.00",326.09,317.00,"18,745,226.10",220,-10.57,11.00,-3.24,3.50,-0.64,327.30,315.63,389.00,220.20
295,SPHL,-,733.10,762.50,708.00,731.71,735.99,"2,159.00",748.00,751.10,"1,588,993.00",45,-16.29,54.50,-2.18,7.70,-0.58,773.35,722.40,922.00,443.00
296,SPIL,-,824.00,825.00,791.10,796.27,806.74,"11,505.00",824.30,800.00,"9,281,556.40",111,-28.03,33.90,-3.40,4.29,-1.32,851.05,863.07,"1,076.00",712.00
297,SPL,-,850.00,855.00,828.10,830.45,834.02,"4,491.00",864.09,839.00,"3,745,585.80",71,-33.64,26.90,-3.89,3.25,-0.43,933.20,897.02,"1,109.60",623.50
298,SRLI,-,425.00,425.00,410.00,411.30,413.67,"41,736.00",418.76,413.00,"17,265,132.60",457,-7.46,15.00,-1.78,3.66,-0.58,447.87,469.93,654.00,410.00
299,SSHL,-,227.00,230.00,223.10,225.00,225.77,"67,313.00",231.53,226.00,"15,197,536.70",316,-6.53,6.90,-2.82,3.09,-0.34,230.23,222.58,281.10,154.00
300,STC,-,"5,250.00","5,275.00","5,101.00","5,151.87","5,155.45","1,002.00","5,211.31","5,159.00","5,165,761.00",45,-59.44,174.00,-1.14,3.41,-0.07,"5,636.14","5,636.48","7,000.00","4,210.00"
301,SWBBL,-,830.00,832.00,803.60,817.40,817.64,"8,870.00",831.45,819.00,"7,252,450.60",119,-14.05,28.40,-1.69,3.53,-0.03,920.07,945.16,"1,232.00",711.50
302,SWMF,-,725.00,730.00,719.00,720.05,722.59,"4,078.00",736.55,719.00,"2,946,720.20",80,-16.50,11.00,-2.24,1.53,-0.35,793.98,847.21,"1,214.80",704.10
303,TAMOR,-,504.60,511.00,495.00,499.48,501.48,"26,726.00",514.89,499.10,"13,402,604.10",223,-15.41,16.00,-2.99,3.23,-0.40,527.98,509.99,637.00,348.00
304,TPC,-,514.00,519.00,495.00,498.80,505.45,"27,067.00",523.89,498.30,"13,681,003.60",230,-25.09,24.00,-4.79,4.85,-1.33,536.47,533.13,671.60,410.00
305,TRH,-,"1,072.00","1,079.00","1,016.20","1,036.30","1,042.62","2,680.00","1,072.53","1,016.20","2,794,228.00",46,-36.23,62.80,-3.38,6.18,-0.61,"1,127.96","1,093.40","1,538.00",695.10
306,TSHL,-,800.00,800.00,775.00,783.25,788.99,"6,178.00",806.59,775.00,"4,874,411.00",94,-23.34,25.00,-2.89,3.23,-0.73,889.91,837.04,"1,231.00",475.40
307,TVCL,-,523.00,523.00,500.00,501.23,503.93,"13,993.00",520.84,501.00,"7,051,497.00",135,-19.61,23.00,-3.77,4.60,-0.54,536.51,526.83,697.00,431.00
