S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
48,EBL,-,615.10,615.10,594.00,600.38,600.31,"40,323.00",603.09,601.00,"24,206,190.10",230,-2.71,21.10,-0.45,3.55,0.01,609.17,615.40,790.00,487.30
49,EBLD85,-,"1,135.00","1,135.00","1,135.00","1,157.70","1,157.70",1.00,"1,135.00","1,135.00","1,157.70",1,22.70,0.00,2.00,0.00,0.00,"1,112.32","1,087.03","1,178.00","1,012.10"
50,EBLD86,-,"1,015.10","1,040.00","1,015.10","1,040.00","1,031.59",80.00,"1,020.00","1,040.00","82,527.50",3,20.00,24.90,1.96,2.45,0.81,"1,020.98",999.35,"1,080.00",904.10
51,EDBL,-,633.00,639.00,619.00,622.92,626.16,"21,618.00",645.65,623.00,"13,536,427.20",133,-22.73,20.00,-3.52,3.23,-0.52,664.00,610.05,838.20,343.50
52,EHPL,-,727.30,730.00,676.20,684.86,698.88,"14,632.00",737.95,697.90,"10,226,020.60",122,-53.09,53.80,-7.19,7.96,-2.05,806.19,732.85,997.00,423.90
53,ENL,-,"1,122.00","1,125.00","1,080.00","1,109.92","1,102.86","2,044.00","1,122.96","1,113.00","2,254,248.10",58,-13.04,45.00,-1.16,4.17,0.64,"1,202.48","1,192.17","1,453.50",733.30
54,FMDBL,-,746.80,755.00,735.00,737.32,741.24,"19,917.00",759.32,748.90,"14,763,187.40",181,-22.00,20.00,-2.90,2.72,-0.53,773.09,773.35,"1,004.00",593.20
55,FOWAD,-,"1,185.00","1,190.00","1,100.00","1,151.86","1,156.51","4,096.00","1,191.94","1,157.00","4,737,056.40",99,-40.08,90.00,-3.36,8.18,-0.40,"1,342.20","1,382.56","1,739.00","1,048.60"
56,GBBD85,-,"1,030.00","1,030.00","1,030.00","1,030.30","1,030.03",28.00,"1,028.20","1,030.00","28,840.90",2,2.10,0.00,0.20,0.00,0.03,"1,032.10","1,017.19","1,090.30",916.00
57,GBBL,-,391.00,391.00,380.00,380.49,383.61,"50,912.00",393.03,380.00,"19,530,353.30",243,-12.54,11.00,-3.19,2.89,-0.82,422.25,422.77,531.40,350.10
58,GBILD84/85,-,"1,190.00","1,190.00","1,180.10","1,180.14","1,184.58",100.00,"1,180.00","1,180.10","118,458.00",5,0.14,9.90,0.01,0.84,-0.38,0.00,0.00,"1,220.00","1,000.00"
59,GBILD86/87,-,"1,020.80","1,020.80","1,020.80","1,021.00","1,021.00",1.00,"1,020.80","1,020.80","1,021.00",1,0.20,0.00,0.02,0.00,0.00,"1,014.99",979.90,"1,083.00",902.00
60,GBIME,-,221.60,221.60,210.70,213.37,213.12,"145,639.00",217.28,214.00,"31,039,092.00",599,-3.91,10.90,-1.80,5.17,0.12,233.51,229.73,302.00,170.00
61,GBLBS,-,799.50,803.00,785.00,785.38,793.02,"13,063.00",815.59,791.00,"10,359,193.80",128,-30.21,18.00,-3.70,2.29,-0.97,804.22,812.73,987.00,600.00
62,GCIL,-,517.70,530.00,509.00,521.55,519.72,"97,170.00",528.24,517.90,"50,501,146.70",471,-6.69,21.00,-1.27,4.13,0.35,505.74,513.07,668.00,460.00
63,GFCL,-,676.50,676.50,652.10,653.67,658.31,"22,810.00",676.45,653.70,"15,016,074.00",233,-22.78,24.40,-3.37,3.74,-0.71,853.15,842.29,"1,353.00",438.00
64,GHL,-,276.00,280.00,268.00,269.04,272.38,"400,610.00",281.45,268.10,"109,116,628.80","1,060",-12.41,12.00,-4.41,4.48,-1.24,228.77,217.88,318.00,141.00
65,GIBF1,-,9.61,9.79,9.61,9.79,9.70,"1,300.00",9.70,9.79,"12,610.00",5,0.09,0.18,0.93,1.87,0.92,9.82,9.68,10.72,7.92
66,GILB,-,"1,215.10","1,250.00","1,209.20","1,212.43","1,220.59","3,276.00","1,238.16","1,209.20","3,998,656.70",69,-25.73,40.80,-2.08,3.37,-0.67,"1,266.70","1,314.55","1,815.00",902.00
67,GLBSL,-,"2,750.00","2,750.00","2,627.50","2,652.95","2,664.12","5,570.00","2,750.00","2,650.10","14,839,127.60",123,-97.05,122.50,-3.53,4.66,-0.42,"2,336.47","2,173.85","3,486.00","1,293.00"
68,GLH,-,240.00,241.50,234.50,234.92,236.79,"47,970.00",242.96,235.00,"11,358,993.50",303,-8.04,7.00,-3.31,2.99,-0.80,252.98,253.12,336.00,196.00
69,GMFBS,-,"1,591.30","1,591.30","1,556.00","1,564.95","1,570.65","1,940.00","1,614.93","1,560.40","3,047,054.10",48,-49.98,35.30,-3.09,2.27,-0.36,"1,720.76","1,720.88","2,327.00",971.00
70,GMFIL,-,503.90,503.90,482.00,485.17,487.14,"14,900.00",501.23,485.00,"7,258,452.10",130,-16.06,21.90,-3.20,4.54,-0.41,573.31,567.35,759.00,348.00
71,GMLI,-,"2,265.00","2,410.00","2,231.10","2,284.09","2,336.71","42,770.00","2,265.63","2,280.00","99,941,176.60","1,331",18.46,178.90,0.81,8.02,-2.30,0.00,0.00,"2,410.00",301.00
72,GRDBL,-,"1,372.40","1,395.00","1,316.00","1,371.35","1,355.78","35,413.00","1,397.53","1,350.00","48,012,117.50",262,-26.18,79.00,-1.87,6.00,1.14,"1,093.53",922.85,"2,001.40",358.00
73,GSY,-,9.19,9.19,9.01,9.11,9.06,"4,050.00",9.02,9.11,"36,707.50",16,0.09,0.18,1.00,2.00,0.51,0.00,0.00,10.00,8.80
74,GUFL,-,596.00,596.00,575.00,575.66,579.33,"15,010.00",595.29,575.50,"8,695,798.40",204,-19.63,21.00,-3.30,3.65,-0.64,687.24,721.00,"1,041.00",548.00
75,GVL,-,479.00,479.00,451.00,453.57,460.18,"11,515.00",470.42,459.90,"5,298,995.70",132,-16.85,28.00,-3.58,6.21,-1.46,545.09,561.47,699.90,402.40
76,GWFD83,-,"1,181.50","1,181.50","1,181.50","1,181.90","1,181.90",2.00,"1,181.50","1,181.50","2,363.80",1,0.40,0.00,0.03,0.00,0.00,"1,225.47","1,180.26","1,330.00","1,125.00"
77,H8020,-,10.17,10.25,10.17,10.17,10.20,"5,000.00",10.25,10.17,"51,014.00",11,-0.08,0.08,-0.78,0.79,-0.32,10.08,9.91,10.83,8.36
78,HATHY,-,"1,240.00","1,260.00","1,194.90","1,199.15","1,213.33","37,004.00","1,257.85","1,202.00","44,898,154.40",568,-58.70,65.10,-4.67,5.45,-1.18,"1,406.71","1,355.33","1,816.00",808.50
79,HBL,-,231.00,232.00,229.80,230.25,230.41,"27,566.00",234.42,230.20,"6,351,604.50",157,-4.17,2.20,-1.78,0.96,-0.07,244.41,240.01,312.10,167.10
80,HBLD83,-,"1,047.00","1,047.00","1,047.00","1,047.10","1,047.10",2.00,"1,047.00","1,047.00","2,094.20",1,0.10,0.00,0.01,0.00,0.00,"1,044.68",0.00,"1,097.00",999.00
81,HDHPC,-,197.00,198.80,194.00,194.63,195.32,"145,802.00",199.81,195.00,"28,478,381.40",660,-5.18,4.80,-2.59,2.47,-0.36,205.63,196.47,273.00,123.30
82,HDL,-,"1,210.00","1,234.10","1,187.00","1,188.43","1,195.08","53,908.00","1,209.92","1,190.00","64,424,289.00",956,-21.49,47.10,-1.78,3.97,-0.56,"1,278.47","1,321.07","1,749.00","1,136.00"
83,HEI,-,596.00,599.00,584.10,590.04,590.63,"27,369.00",604.55,590.50,"16,164,842.70",206,-14.51,14.90,-2.40,2.55,-0.10,650.25,659.06,810.00,553.30
84,HEIP,-,370.00,414.70,365.00,406.55,382.60,"20,125.00",377.00,414.70,"7,699,796.00",51,29.55,49.70,7.84,13.62,5.89,428.95,411.31,563.00,327.00
85,HHL,-,492.00,501.00,471.00,477.28,480.49,"16,620.00",501.78,478.80,"7,985,718.90",169,-24.50,30.00,-4.88,6.37,-0.67,515.99,480.74,635.00,330.00
86,HIDCL,-,264.80,264.80,255.30,257.36,257.80,"150,982.00",264.80,258.00,"38,922,447.10",529,-7.44,9.50,-2.81,3.72,-0.17,262.24,250.16,360.00,158.10
87,HIDCLP,-,174.00,174.00,167.00,169.06,168.75,"204,789.00",172.68,169.20,"34,557,531.30",359,-3.62,7.00,-2.10,4.19,0.19,173.11,158.20,212.00,97.20
88,HLBSL,-,975.00,975.00,940.50,941.99,945.86,"8,159.00",965.26,941.00,"7,717,254.90",61,-23.27,34.50,-2.41,3.67,-0.41,984.89,"1,056.98","1,447.00",672.50
89,HLI,-,415.00,420.00,410.00,411.49,412.66,"59,895.00",418.91,411.30,"24,715,986.30",382,-7.42,10.00,-1.77,2.44,-0.28,460.58,456.00,607.00,364.10
90,HPPL,-,573.50,585.90,563.00,569.47,570.14,"77,647.00",585.12,578.00,"44,269,435.70",314,-15.65,22.90,-2.67,4.07,-0.12,448.41,411.81,665.00,244.00
91,HRL,-,962.00,962.00,935.10,939.44,942.46,"246,173.00",961.79,938.50,"232,007,165.20","1,897",-22.35,26.90,-2.32,2.88,-0.32,868.95,819.18,"1,156.00",512.00
92,HURJA,-,230.00,233.90,227.10,227.47,229.01,"121,168.00",234.61,228.90,"27,748,143.30",394,-7.14,6.80,-3.04,2.99,-0.68,235.95,239.39,333.90,183.60
93,ICFC,-,611.00,614.00,594.00,594.96,599.50,"34,968.00",615.50,596.00,"20,963,192.67",288,-20.54,20.00,-3.34,3.37,-0.76,698.00,692.84,910.00,488.00
94,ICFCD83,-,"1,180.00","1,180.00","1,180.00","1,183.00","1,180.03",192.00,"1,192.00","1,180.00","226,566.00",2,-9.00,0.00,-0.76,0.00,0.25,"1,233.01","1,187.41","1,325.00","1,158.00"
95,ICFCD88,-,"1,060.00","1,060.00","1,055.20","1,056.60","1,057.98",99.00,"1,060.00","1,056.60","104,739.80",4,-3.40,4.80,-0.32,0.45,-0.13,0.00,0.00,"1,100.00","1,000.00"
96,IGI,-,570.00,574.00,555.00,559.57,559.41,"40,565.00",576.09,560.00,"22,692,520.60",308,-16.52,19.00,-2.87,3.42,0.03,604.29,603.92,760.00,508.00
97,IHL,-,658.30,671.40,640.00,654.32,651.47,"9,385.00",671.68,656.90,"6,114,089.00",102,-17.36,31.40,-2.58,4.91,0.43,649.97,603.51,838.00,345.00
98,ILBS,-,935.00,952.00,915.00,915.06,919.47,"4,254.00",949.52,916.00,"3,911,410.90",74,-34.46,37.00,-3.63,4.04,-0.48,998.96,"1,058.45","1,492.00",865.20
99,ILI,-,461.10,463.80,449.00,450.45,453.38,"36,938.00",463.22,451.00,"16,747,029.20",601,-12.77,14.80,-2.76,3.30,-0.65,487.63,488.94,606.00,412.50
100,JBBD87,-,"1,055.00","1,055.00","1,055.00","1,055.90","1,055.01",152.00,"1,051.00","1,055.00","160,361.80",2,4.90,0.00,0.47,0.00,0.08,"1,026.96",0.00,"1,105.00",925.00
101,JBBL,-,340.00,343.00,331.00,332.06,335.58,"84,712.00",343.11,332.00,"28,427,612.40",360,-11.05,12.00,-3.22,3.63,-1.06,362.25,356.48,445.00,275.00
102,JBLB,-,"1,325.00","1,326.70","1,305.00","1,312.92","1,316.82","4,278.00","1,326.71","1,317.90","5,633,358.00",153,-13.79,21.70,-1.04,1.66,-0.30,"1,482.40","1,508.29","1,920.00","1,270.00"
103,JFL,-,505.60,515.00,496.00,496.86,501.81,"36,561.00",515.88,498.00,"18,346,821.10",348,-19.02,19.00,-3.69,3.83,-1.00,688.54,687.75,"1,083.30",378.10
104,JOSHI,-,360.00,361.00,340.00,344.54,348.73,"58,034.00",364.51,343.10,"20,237,997.80",403,-19.97,21.00,-5.48,6.18,-1.22,380.54,361.29,521.60,265.00
105,JSLBB,-,"1,454.80","1,460.00","1,421.00","1,427.39","1,434.62","1,706.00","1,479.48","1,429.00","2,447,466.90",56,-52.09,39.00,-3.52,2.74,-0.51,"1,603.54","1,557.24","1,860.40",973.00
106,KBL,-,208.00,208.00,199.90,200.01,200.44,"148,905.00",203.97,200.00,"29,845,900.90",573,-3.96,8.10,-1.94,4.05,-0.21,215.42,206.30,272.90,129.60
107,KBLD86,-,"1,165.00","1,165.00","1,116.00","1,116.00","1,116.01","2,500.00","1,165.00","1,116.00","2,790,028.60",3,-49.00,49.00,-4.21,4.39,0.00,"1,066.52","1,017.52","1,232.80","1,011.00"
108,KBLD89,-,"1,195.90","1,222.00","1,195.90","1,222.00","1,199.00","18,727.00","1,172.50","1,222.00","22,453,611.90",14,49.50,26.10,4.22,2.18,1.88,"1,119.50",0.00,"1,275.00","1,039.20"
109,KBLD90,-,"1,115.00","1,115.00","1,115.00","1,115.40","1,115.40",1.00,"1,115.00","1,115.00","1,115.40",1,0.40,0.00,0.04,0.00,0.00,0.00,0.00,"1,300.00","1,000.00"
110,KBSH,-,"2,450.60","2,450.60","2,402.00","2,408.40","2,418.21",734.00,"2,500.57","2,405.00","1,774,969.00",32,-92.17,48.60,-3.69,2.02,-0.41,"2,476.75","2,243.68","3,300.00",990.00
111,KDBY,-,8.88,8.90,8.88,8.89,8.89,400.00,9.02,8.89,"3,556.00",4,-0.13,0.02,-1.44,0.23,0.00,9.37,9.53,11.00,8.26
112,KDL,-,"1,088.00","1,097.00","1,072.00","1,079.52","1,082.51","3,821.00","1,101.49","1,080.00","4,136,289.00",76,-21.97,25.00,-1.99,2.33,-0.28,"1,125.05","1,154.48","1,381.00",752.10
113,KEF,-,8.72,8.90,8.72,8.81,8.77,"13,100.00",8.89,8.82,"114,905.00",18,-0.08,0.18,-0.90,2.06,0.44,8.96,9.08,10.76,7.85
114,KKHC,-,335.00,342.70,324.00,325.66,329.70,"32,469.00",340.78,329.00,"10,705,165.20",191,-15.12,18.70,-4.44,5.77,-1.24,340.44,314.89,475.00,209.00
115,KMCDB,-,"1,031.20","1,050.00","1,015.00","1,017.08","1,025.68","3,677.00","1,052.13","1,025.00","3,771,422.80",54,-35.05,35.00,-3.33,3.45,-0.85,"1,093.78","1,102.79","1,285.00",720.10
116,KPCL,-,525.00,525.00,506.00,511.66,509.35,"8,579.00",525.63,511.90,"4,369,755.70",70,-13.97,19.00,-2.66,3.75,0.45,534.51,523.71,652.40,380.20
117,KSBBL,-,440.00,440.00,426.00,438.31,431.01,"40,694.00",440.96,429.00,"17,539,492.30",222,-2.65,14.00,-0.60,3.29,1.67,454.94,455.05,564.80,341.00
118,KSBBLD87,-,"1,050.00","1,050.00","1,050.00","1,050.00","1,050.00",50.00,"1,042.10","1,050.00","52,500.00",2,7.90,0.00,0.76,0.00,0.00,"1,036.43",0.00,"1,102.60",918.20
119,KSY,-,8.60,8.94,8.60,8.94,8.84,"3,350.00",8.77,8.94,"29,623.00",11,0.17,0.34,1.94,3.95,1.09,9.02,8.96,10.91,7.77
120,LBBL,-,424.90,425.00,412.10,412.56,415.10,"35,373.00",423.76,413.50,"14,683,408.60",152,-11.20,12.90,-2.64,3.13,-0.62,475.17,468.30,560.00,361.00
121,LBBLD89,-,"1,173.00","1,173.00","1,172.00","1,172.00","1,172.60",25.00,"1,166.20","1,172.00","29,315.00",2,5.80,1.00,0.50,0.09,-0.05,0.00,0.00,"1,270.00","1,000.00"
122,LBLD86,-,"1,076.70","1,076.70","1,076.70","1,077.40","1,077.40",2.00,"1,076.70","1,076.70","2,154.80",1,0.70,0.00,0.07,0.00,0.00,0.00,0.00,"1,135.00",985.40
123,LBLD88,-,"1,033.30","1,033.30","1,033.30","1,033.30","1,033.30",25.00,"1,013.10","1,033.30","25,832.50",1,20.20,0.00,1.99,0.00,0.00,914.25,0.00,"1,085.00",901.00
124,LEC,-,206.00,209.70,204.00,205.31,205.95,"86,398.00",209.48,205.00,"17,793,239.90",376,-4.17,5.70,-1.99,2.79,-0.31,228.95,230.11,344.00,175.10
125,LICN,-,"1,000.00","1,000.00",980.00,984.13,984.66,"26,128.00",997.79,983.00,"25,727,098.60",296,-13.66,20.00,-1.37,2.04,-0.05,"1,372.78","1,491.68","2,475.00",975.00
126,LLBS,-,"1,035.10","1,054.20","1,016.00","1,022.26","1,028.03","1,864.00","1,055.33","1,036.00","1,916,243.00",46,-33.07,38.20,-3.13,3.76,-0.56,"1,126.19","1,159.52","1,428.00",800.00
127,LSL,-,221.10,221.10,213.00,215.95,215.09,"103,090.00",216.81,215.00,"22,173,491.10",214,-0.86,8.10,-0.40,3.80,0.40,234.37,225.91,300.00,143.60
128,LUK,-,9.76,9.76,9.57,9.59,9.65,"1,735.00",9.60,9.57,"16,734.60",4,-0.01,0.19,-0.10,1.99,-0.58,9.50,9.43,10.22,8.07
129,LVF2,-,9.17,9.17,9.00,9.03,9.06,400.00,9.35,9.03,"3,623.00",4,-0.32,0.17,-3.42,1.89,-0.30,9.09,9.05,10.01,7.50
130,MAKAR,-,696.00,700.00,670.40,684.31,684.37,"3,820.00",709.11,690.00,"2,614,296.00",71,-24.80,29.60,-3.50,4.42,-0.01,652.95,602.19,860.00,342.00
131,MANDU,-,877.00,894.20,860.00,863.23,871.48,"8,451.00",891.99,860.00,"7,364,841.10",148,-28.76,34.20,-3.22,3.98,-0.96,934.56,"1,004.29","1,493.10",666.10
132,MATRI,-,"1,230.00","1,230.00","1,166.00","1,169.89","1,179.99","1,594.00","1,211.18","1,166.00","1,880,902.50",73,-41.29,64.00,-3.41,5.49,-0.86,"1,332.79",0.00,"1,716.00","1,150.00"
133,MBJC,-,322.00,324.00,314.60,315.41,319.18,"44,862.00",325.85,315.10,"14,319,051.20",408,-10.44,9.40,-3.20,2.99,-1.20,348.08,346.93,433.00,279.30
134,MBL,-,222.00,224.90,220.00,220.68,221.49,"90,357.00",225.98,220.80,"20,013,368.60",226,-5.30,4.90,-2.35,2.23,-0.37,241.56,234.64,295.00,157.80
135,MCHL,-,592.00,592.00,545.40,548.12,558.60,"9,512.00",584.48,555.00,"5,313,431.70",101,-36.36,46.60,-6.22,8.54,-1.91,589.49,553.49,714.00,319.00
136,MDB,-,623.00,628.00,596.00,601.26,607.03,"43,988.00",628.76,604.00,"26,702,153.70",317,-27.50,32.00,-4.37,5.37,-0.96,678.56,655.78,843.50,412.60
137,MEHL,-,530.00,550.00,504.70,507.30,512.07,"22,525.00",540.70,507.00,"11,534,417.70",205,-33.40,45.30,-6.18,8.98,-0.94,485.38,448.19,696.00,283.50
138,MEL,-,308.70,314.30,303.30,306.56,307.23,"63,163.00",314.82,308.20,"19,405,272.10",326,-8.26,11.00,-2.62,3.63,-0.22,324.51,305.98,393.00,211.30
139,MEN,-,571.10,581.00,566.10,569.25,572.39,"29,647.00",581.11,570.00,"16,969,683.40",213,-11.86,14.90,-2.04,2.63,-0.55,644.15,648.83,809.50,498.10
140,MERO,-,707.10,710.00,689.00,691.43,698.76,"10,807.00",717.92,692.00,"7,551,520.30",139,-26.49,21.00,-3.69,3.05,-1.06,741.66,758.98,980.00,593.00
141,MFIL,-,607.00,612.00,595.00,597.91,600.90,"16,893.00",617.01,598.00,"10,151,005.00",197,-19.10,17.00,-3.10,2.86,-0.50,685.71,680.16,917.00,480.20
142,MFLD85,-,"1,072.00","1,094.40","1,072.00","1,073.00","1,090.81",822.00,"1,052.00","1,094.40","896,647.30",15,21.00,22.40,2.00,2.09,-1.66,"1,040.38","1,001.85","1,102.00",955.00
143,MHCL,-,511.30,527.00,495.30,498.55,504.90,"14,280.00",521.70,495.30,"7,209,917.00",151,-23.15,31.70,-4.44,6.40,-1.27,507.66,481.39,655.00,355.00
144,MHL,-,710.00,710.00,690.90,692.19,696.90,"3,973.00",714.33,692.00,"2,768,789.90",71,-22.14,19.10,-3.10,2.76,-0.68,813.46,782.68,"1,101.00",381.10
145,MHNL,-,259.10,261.00,250.00,250.62,253.83,"26,460.00",264.07,252.00,"6,716,287.00",163,-13.45,11.00,-5.09,4.40,-1.28,271.82,274.33,379.00,215.70
146,MKCL,-,"1,599.60","1,599.60","1,521.10","1,528.87","1,546.84","13,295.00","1,568.39","1,538.00","20,565,298.80",177,-39.52,78.50,-2.52,5.16,-1.18,"1,564.97","1,520.74","1,926.00",785.00
147,MKHC,-,506.00,512.90,494.00,507.06,500.87,"16,777.00",516.22,505.00,"8,403,081.00",189,-9.16,18.90,-1.77,3.83,1.22,482.03,443.86,627.00,280.00
148,MKHL,-,690.10,702.70,673.30,683.51,691.70,"24,473.00",702.15,677.80,"16,927,951.00",160,-18.64,29.40,-2.65,4.37,-1.20,617.92,595.25,765.00,356.40
149,MKJC,-,530.00,540.00,521.00,524.92,526.87,"43,208.00",538.29,521.00,"22,765,183.40",169,-13.37,19.00,-2.48,3.65,-0.37,534.38,550.61,735.00,402.00
150,MLBBL,-,"1,550.00","1,583.00","1,510.00","1,515.25","1,541.51","7,391.00","1,580.70","1,530.00","11,393,310.70",147,-65.45,73.00,-4.14,4.83,-1.73,"1,676.65","1,608.64","2,019.00",887.00
151,MLBL,-,398.00,399.00,385.00,386.05,390.50,"176,737.00",400.81,387.00,"69,014,979.10",705,-14.76,14.00,-3.68,3.64,-1.15,401.94,399.14,498.00,311.70
152,MLBS,-,"1,760.00","1,760.00","1,711.00","1,714.93","1,732.09",876.00,"1,780.07","1,744.00","1,517,309.10",40,-65.14,49.00,-3.66,2.86,-1.00,"1,988.41","1,803.23","2,530.00",843.00
153,MLBSL,-,"2,289.90","2,289.90","2,180.00","2,184.61","2,189.92","5,153.00","2,245.07","2,198.00","11,284,642.80",64,-60.46,109.90,-2.69,5.04,-0.24,"2,244.09","2,183.78","2,648.70","1,617.00"
154,MMF1,-,8.20,8.46,8.08,8.25,8.24,"20,950.00",8.36,8.24,"172,714.00",30,-0.11,0.38,-1.32,4.70,0.07,8.78,8.57,9.72,6.53
155,MMKJL,-,686.40,696.10,660.40,660.73,669.94,"9,954.00",700.36,660.50,"6,668,599.00",110,-39.63,35.70,-5.66,5.41,-1.39,665.96,630.41,890.40,395.00
156,MNBBL,-,362.00,365.50,357.50,358.34,359.27,"37,783.00",363.93,359.00,"13,574,371.50",240,-5.59,8.00,-1.54,2.24,-0.26,384.63,388.51,482.00,332.40
157,MND84/85,-,"1,028.20","1,028.20","1,028.20","1,035.00","1,035.00",2.00,"1,028.20","1,028.20","2,070.00",1,6.80,0.00,0.66,0.00,0.00,0.00,0.00,"1,091.40",950.90
158,MNMF1,-,8.95,9.10,8.95,9.01,8.99,"1,700.00",8.99,9.01,"15,288.00",14,0.02,0.15,0.22,1.68,0.19,0.00,0.00,10.42,8.67
159,MPFL,-,630.00,631.10,609.00,612.11,614.91,"26,991.00",631.13,613.00,"16,597,023.70",162,-19.02,22.10,-3.01,3.63,-0.46,704.54,678.16,936.90,356.10
160,MSHL,-,905.00,907.00,853.10,887.25,892.35,"2,969.00",915.24,887.50,"2,649,393.30",57,-27.99,53.90,-3.06,6.32,-0.58,977.53,916.63,"1,180.00",592.00
161,MSLB,-,"1,252.00","1,259.90","1,217.20","1,219.16","1,228.77","2,486.00","1,277.50","1,220.00","3,054,719.20",101,-58.34,42.70,-4.57,3.51,-0.79,"1,523.46","1,492.55","1,851.00",948.70
162,NABBC,-,"1,889.80","1,929.00","1,735.50","1,759.94","1,873.23","71,915.00","1,928.34","1,736.00","134,713,079.80",181,-168.40,193.50,-8.73,11.15,-6.44,"1,133.01",952.46,"2,060.00",400.00
163,NABIL,-,485.00,485.00,478.00,480.13,479.81,"78,144.00",484.03,479.00,"37,494,028.20",659,-3.90,7.00,-0.81,1.46,0.07,525.61,537.79,700.00,419.00
164,NABILD87,-,"1,046.00","1,046.00","1,046.00","1,050.00","1,050.00",2.00,"1,046.00","1,046.00","2,100.00",1,4.00,0.00,0.38,0.00,0.00,0.00,0.00,"1,105.00",950.00
165,NADEP,-,855.00,860.00,835.00,839.72,842.86,"1,476.00",860.02,837.00,"1,244,054.40",39,-20.30,25.00,-2.36,2.99,-0.37,991.49,984.42,"1,190.00",629.50
166,NBBD2085,-,"1,119.20","1,119.20","1,119.20","1,099.10","1,098.28",8.00,"1,119.20","1,119.20","8,786.20",2,-20.10,0.00,-1.80,0.00,0.08,"1,086.23",0.00,"1,250.00","1,051.00"
167,NBF2,-,9.35,9.48,9.28,9.31,9.33,"78,500.00",9.45,9.31,"732,574.00",11,-0.14,0.20,-1.48,2.16,-0.24,9.48,9.47,10.63,7.65
168,NBF3,-,8.99,9.05,8.84,9.00,8.94,"38,550.00",9.09,9.00,"344,631.50",47,-0.09,0.21,-0.99,2.38,0.67,9.13,8.92,10.45,7.05
169,NBL,-,250.00,250.00,244.60,245.28,245.85,"86,457.00",251.10,245.00,"21,255,663.90",347,-5.82,5.40,-2.32,2.21,-0.23,268.29,264.77,337.50,195.10
170,NCCD86,-,"1,052.40","1,119.70","1,052.40","1,100.00","1,098.80","23,965.00","1,052.40","1,100.00","26,332,827.50",19,47.60,67.30,4.52,6.39,0.11,"1,043.74","1,004.42","1,166.80",960.90
