S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,44.15,"1,000.00","1,000.00",981.20,985.00,985.00,0.00,0.00,985.18,"1,117.00","1,000.00","1,100,443.40",39,-15.00,18.80,-1.50,1.92,-0.02,992.37,"1,022.27","1,240.00",900.00
2,ADBL,31.74,310.70,319.00,310.70,313.10,313.10,0.00,0.00,313.91,"46,720.00",317.00,"14,665,725.30",247,-3.90,8.30,-1.23,2.67,-0.26,308.02,307.62,344.90,272.30
3,AHL,52.70,536.00,540.50,532.00,537.00,537.00,0.00,0.00,535.57,"22,393.00",536.00,"11,992,934.50",99,1.00,8.50,0.19,1.60,0.27,591.32,606.32,765.80,462.60
4,AHPC,30.64,310.50,310.50,300.00,300.90,300.90,0.00,0.00,303.67,"299,605.00",308.00,"90,981,668.70",979,-7.10,10.50,-2.31,3.50,-0.92,280.60,285.38,334.00,242.50
5,AKJCL,40.08,380.00,400.00,371.00,396.00,396.00,0.00,0.00,388.83,"1,768,702.00",377.80,"687,724,761.90","2,558",18.20,29.00,4.82,7.82,1.81,232.85,225.62,409.00,172.90
6,AKPL,31.54,293.00,294.10,284.20,289.90,289.90,0.00,0.00,287.75,"414,888.00",293.00,"119,383,845.60","1,060",-3.10,9.90,-1.06,3.48,0.74,254.53,258.51,306.50,216.10
7,ALBSL,30.72,"1,131.00","1,190.00","1,130.10","1,143.90","1,143.90",0.00,0.00,"1,145.67","10,529.00","1,154.00","12,062,731.40",130,-10.10,59.90,-0.88,5.30,-0.15,"1,083.98","1,010.92","1,250.00",771.00
8,ALICL,29.29,471.50,476.00,465.30,469.50,469.50,0.00,0.00,470.00,"32,109.00",476.40,"15,091,374.20",209,-6.90,10.70,-1.45,2.30,-0.11,469.90,490.19,779.00,430.00
9,ANLB,27.12,"6,425.00","6,450.00","6,401.10","6,450.00","6,450.00",0.00,0.00,"6,415.55",246.00,"6,478.90","1,578,224.40",21,-28.90,48.90,-0.45,0.76,0.53,"6,155.31","5,964.14","6,800.00","4,895.00"
10,API,32.35,339.00,343.90,331.00,333.00,333.00,0.00,0.00,335.05,"566,324.00",339.80,"189,748,159.20","1,814",-6.80,12.90,-2.00,3.90,-0.62,292.01,294.52,355.00,258.80
