S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
11,AVYAN,43.70,"1,082.00","1,110.00","1,071.10","1,078.00","1,078.00",0.00,0.00,"1,088.43","20,694.00","1,090.00","22,523,966.40",239,-12.00,38.90,-1.10,3.63,-0.97,981.82,"1,007.95","1,225.00",906.00
12,BANDIPUR,28.69,930.00,962.00,925.30,943.00,943.00,0.00,0.00,941.75,"55,222.00",939.80,"52,005,484.10",931,3.20,36.70,0.34,3.97,0.13,0.00,0.00,"1,233.00",285.00
13,BARUN,33.43,366.40,379.90,366.30,366.50,366.50,0.00,0.00,369.83,"224,006.00",373.70,"82,843,875.30",768,-7.20,13.60,-1.93,3.71,-0.91,339.14,363.20,589.00,292.10
14,BBC,30.30,"4,890.00","4,890.00","4,792.20","4,858.60","4,858.60",0.00,0.00,"4,818.77",470.00,"4,867.00","2,264,822.80",33,-8.40,97.80,-0.17,2.04,0.82,"4,920.80","5,120.33","6,661.60","4,480.00"
15,BEDC,29.97,545.00,545.40,529.00,532.00,532.00,0.00,0.00,535.25,"6,037.00",540.00,"3,231,293.10",91,-8.00,16.40,-1.48,3.10,-0.61,580.24,626.07,960.00,500.00
16,BFC,31.44,488.00,494.70,481.10,484.00,484.00,0.00,0.00,485.70,"19,786.00",487.00,"9,610,066.10",133,-3.00,13.60,-0.62,2.83,-0.35,472.24,482.01,604.80,411.50
17,BGWT,34.59,762.00,770.00,760.00,769.00,769.00,0.00,0.00,763.11,"5,073.00",761.20,"3,871,250.70",76,7.80,10.00,1.02,1.32,0.77,799.52,846.19,"1,110.00",730.70
18,BHCL,29.75,580.10,594.30,580.00,588.00,588.00,0.00,0.00,585.63,"38,658.00",587.00,"22,639,425.50",520,1.00,14.30,0.17,2.47,0.40,0.00,0.00,699.00,292.10
19,BHDC,32.88,506.00,509.90,497.00,500.00,500.00,0.00,0.00,501.23,"67,748.00",506.00,"33,957,018.80",260,-6.00,12.90,-1.19,2.60,-0.25,511.23,512.42,706.00,426.00
20,BHL,45.22,245.00,245.00,237.50,242.50,242.50,0.00,0.00,241.71,"1,117,971.00",245.00,"270,226,926.30","3,134",-2.50,7.50,-1.02,3.16,0.32,189.72,197.69,345.00,164.00
21,BHPL,36.65,591.00,597.00,583.00,594.00,594.00,0.00,0.00,591.61,"99,611.00",581.00,"58,931,291.70",562,13.00,14.00,2.24,2.40,0.40,635.27,691.90,"1,308.40",503.10
22,BNHC,34.37,374.00,375.00,365.60,370.00,370.00,0.00,0.00,370.96,"27,406.00",369.00,"10,166,485.10",235,1.00,9.40,0.27,2.57,-0.26,456.07,476.97,613.80,313.10
23,BNT,29.82,"11,990.00","11,990.00","11,800.00","11,800.00","11,800.00",0.00,0.00,"11,828.78",80.00,"11,900.00","946,302.00",6,-100.00,190.00,-0.84,1.61,-0.24,"11,674.49","11,978.39","13,550.00","10,660.00"
24,BPCL,33.45,752.70,752.70,725.00,727.00,727.00,0.00,0.00,729.32,"110,189.00",738.00,"80,363,291.90",355,-11.00,27.70,-1.49,3.82,-0.32,746.66,764.46,"1,065.00",380.70
25,BUNGAL,32.02,650.00,667.40,640.00,648.00,648.00,0.00,0.00,649.13,"26,699.00",655.20,"17,331,084.30",396,-7.20,27.40,-1.10,4.28,-0.17,0.00,0.00,822.00,302.40
26,C30MF,43.61,10.20,10.34,10.05,10.05,10.05,0.00,0.00,10.13,"6,500.00",10.15,"65,855.00",9,-0.10,0.29,-0.99,2.89,-0.81,9.48,9.63,10.71,8.70
27,CBBL,34.04,940.00,945.00,930.10,941.00,941.00,0.00,0.00,936.88,"43,821.00",944.00,"41,054,873.10",384,-3.00,14.90,-0.32,1.60,0.44,984.52,979.28,"1,144.80",821.50
28,CBLD88,47.62,"1,192.00","1,192.00","1,192.00","1,192.00","1,192.00",0.00,0.00,"1,192.00",75.00,"1,188.00","89,400.00",3,4.00,0.00,0.34,0.00,0.00,"1,181.79","1,168.35","1,265.00","1,108.00"
29,CFCL,34.19,563.70,570.00,554.00,557.00,557.00,0.00,0.00,562.24,"49,815.00",557.80,"28,007,802.20",246,-0.80,16.00,-0.14,2.89,-0.94,505.30,513.72,651.00,445.10
30,CGH,28.89,859.00,860.00,850.00,853.90,853.90,0.00,0.00,853.16,"22,110.00",859.00,"18,863,358.40",186,-5.10,10.00,-0.59,1.18,0.09,891.06,917.62,"1,150.00",800.20
31,CHCL,32.75,508.60,508.60,496.90,496.90,496.90,0.00,0.00,500.03,"72,601.00",508.60,"36,302,782.90",344,-11.70,11.70,-2.30,2.35,-0.63,488.48,503.62,599.60,456.00
32,CHDC,30.89,"2,539.90","2,560.00","2,512.00","2,515.00","2,515.00",0.00,0.00,"2,524.70","36,539.00","2,548.00","92,250,159.30",302,-33.00,48.00,-1.30,1.91,-0.39,"2,369.51","2,464.88","2,997.90","1,990.00"
33,CHL,37.57,315.00,317.00,309.10,311.00,311.00,0.00,0.00,312.20,"81,352.00",318.80,"25,398,416.10",293,-7.80,7.90,-2.45,2.56,-0.39,267.83,283.39,551.00,223.40
34,CIT,31.05,"1,858.00","1,858.00","1,820.00","1,821.00","1,821.00",0.00,0.00,"1,825.99","8,471.00","1,843.90","15,467,970.70",204,-22.90,38.00,-1.24,2.09,-0.27,"1,835.77","1,871.33","2,168.00","1,730.80"
35,CITY,30.86,490.00,499.20,488.80,488.80,488.80,0.00,0.00,491.20,"9,783.00",495.00,"4,805,392.80",98,-6.20,10.40,-1.25,2.13,-0.49,522.38,634.07,998.40,461.00
36,CKHL,28.95,695.20,745.00,695.20,738.00,738.00,0.00,0.00,722.36,"8,724.00",708.50,"6,301,830.90",109,29.50,49.80,4.16,7.16,2.12,656.69,656.71,804.00,550.00
37,CLI,33.21,481.00,484.90,473.50,480.00,480.00,0.00,0.00,477.59,"32,513.00",484.20,"15,527,733.90",359,-4.20,11.40,-0.87,2.41,0.50,471.98,474.98,565.00,411.00
38,CMF2,31.91,10.20,10.20,10.01,10.02,10.02,0.00,0.00,10.03,"10,200.00",10.40,"102,333.00",3,-0.38,0.19,-3.65,1.90,-0.13,9.58,9.61,10.86,8.64
39,CORBL,32.65,"1,688.00","1,722.70","1,668.10","1,716.90","1,716.90",0.00,0.00,"1,693.99","12,744.00","1,689.00","21,588,234.00",193,27.90,54.60,1.65,3.27,1.33,"1,742.89","1,922.82","2,800.00","1,431.00"
40,CREST,31.21,"1,423.50","1,479.00","1,368.10","1,404.00","1,404.00",0.00,0.00,"1,399.78","28,592.00","1,425.00","40,022,599.00",309,-21.00,110.90,-1.47,8.11,0.30,"1,277.21","1,344.74","2,458.20",302.50
41,CSY,34.72,9.44,9.78,9.26,9.78,9.78,0.00,0.00,9.50,"17,193.00",9.60,"163,323.54",32,0.18,0.52,1.88,5.62,2.87,0.00,0.00,10.00,8.87
42,CYCL,33.43,"1,600.00","1,620.00","1,580.00","1,604.00","1,604.00",0.00,0.00,"1,596.37","6,977.00","1,610.00","11,137,900.60",60,-6.00,40.00,-0.37,2.53,0.48,"1,581.22","1,626.84","2,040.00","1,462.00"
43,CYCLP,29.56,864.00,864.00,864.00,864.00,864.00,0.00,0.00,864.00,"1,083.00",864.00,"935,712.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,864.00,864.00
44,CZBIL,33.72,219.80,219.80,208.50,210.00,210.00,0.00,0.00,212.51,"177,258.00",215.50,"37,668,314.20",398,-5.50,11.30,-2.55,5.42,-1.19,198.89,204.65,240.10,183.00
45,DDBL,29.91,880.00,888.00,877.10,880.00,880.00,0.00,0.00,880.39,"6,372.00",886.00,"5,609,860.00",71,-6.00,10.90,-0.68,1.24,-0.04,853.08,853.10,"1,010.00",759.00
46,DHEL,31.82,723.00,725.00,704.10,710.00,710.00,0.00,0.00,712.02,"64,393.00",729.00,"45,849,369.30",824,-19.00,20.90,-2.61,2.97,-0.29,0.00,0.00,918.90,402.20
47,DHPL,32.40,321.30,322.00,315.00,316.00,316.00,0.00,0.00,318.22,"19,734.00",324.50,"6,279,810.50",96,-8.50,7.00,-2.62,2.22,-0.70,299.81,309.61,427.20,265.00
48,DLBS,34.66,"1,342.00","1,350.00","1,335.00","1,349.00","1,349.00",0.00,0.00,"1,346.81","1,530.00","1,350.00","2,060,615.00",30,-1.00,15.00,-0.07,1.12,0.16,"1,364.28","1,405.04","1,684.00","1,240.00"
49,DOLTI,35.18,521.00,531.00,521.00,528.90,528.90,0.00,0.00,524.81,"7,149.00",525.00,"3,751,847.00",70,3.90,10.00,0.74,1.92,0.77,527.99,543.37,742.00,470.60
50,DORDI,34.14,312.00,312.00,301.10,302.50,302.50,0.00,0.00,304.92,"281,516.00",311.10,"85,839,868.30",798,-8.60,10.90,-2.76,3.62,-0.80,264.45,290.11,450.00,213.10
51,EBL,36.20,695.00,708.00,695.00,707.80,707.80,0.00,0.00,706.00,"29,192.00",709.00,"20,609,658.40",188,-1.20,13.00,-0.17,1.87,0.25,671.85,673.46,780.60,594.00
52,EBLD85,31.03,"1,130.10","1,170.00","1,130.10","1,170.00","1,170.00",0.00,0.00,"1,150.49",60.00,"1,135.00","69,029.50",3,35.00,39.90,3.08,3.53,1.67,"1,157.56","1,148.56","1,250.00","1,102.50"
53,EBLD91,34.57,"1,115.00","1,115.00","1,097.10","1,097.10","1,097.10",0.00,0.00,"1,113.76",720.00,"1,102.70","801,905.00",3,-5.60,17.90,-0.51,1.63,-1.52,"1,072.09",0.00,"1,142.40",994.40
54,EBLEB89,49.87,"1,082.00","1,103.60","1,082.00","1,103.60","1,103.60",0.00,0.00,"1,099.54",217.00,"1,077.70","238,601.20",3,25.90,21.60,2.40,2.00,0.37,0.00,0.00,"1,117.90",996.10
55,EDBL,31.70,606.40,616.00,606.40,608.20,608.20,0.00,0.00,610.28,"24,480.00",613.00,"14,939,765.50",99,-4.80,9.60,-0.78,1.58,-0.34,599.38,602.19,717.30,545.00
56,EHPL,48.56,445.00,453.00,438.50,447.00,447.00,0.00,0.00,447.07,"120,165.00",439.80,"53,722,101.40",700,7.20,14.50,1.64,3.31,-0.02,455.67,498.48,815.00,385.00
57,ENL,30.75,926.20,936.00,926.20,935.00,935.00,0.00,0.00,929.33,"1,190.00",936.00,"1,105,907.50",19,-1.00,9.80,-0.11,1.06,0.61,939.94,991.43,"1,289.80",866.00
58,FMDBL,33.67,825.00,830.00,810.10,815.00,815.00,0.00,0.00,816.59,"36,468.00",823.00,"29,779,411.10",124,-8.00,19.90,-0.97,2.46,-0.20,820.63,818.47,"1,038.80",718.00
59,FOWAD,34.79,"1,099.90","1,099.90","1,077.10","1,092.00","1,092.00",0.00,0.00,"1,083.79","7,486.00","1,090.00","8,113,234.00",102,2.00,22.80,0.18,2.12,0.75,"1,094.65","1,118.81","1,324.40","1,012.40"
60,GBBD85,43.73,"1,081.70","1,090.00","1,081.70","1,082.70","1,082.70",0.00,0.00,"1,084.30",105.00,"1,100.00","113,851.00",5,-17.30,8.30,-1.57,0.77,-0.15,"1,077.98","1,073.21","1,135.00","1,020.10"
61,GBBL,33.84,423.00,430.00,416.10,420.00,420.00,0.00,0.00,421.34,"42,285.00",423.00,"17,816,425.20",178,-3.00,13.90,-0.71,3.34,-0.32,400.58,405.34,498.00,367.40
62,GBILD84/85,47.71,"1,213.80","1,213.80","1,213.80","1,213.80","1,213.80",0.00,0.00,"1,213.80",200.00,"1,213.80","242,760.00",2,0.00,0.00,0.00,0.00,0.00,"1,168.71","1,165.75","1,220.00","1,104.00"
63,GBILD86/87,50.55,"1,087.00","1,108.70","1,087.00","1,108.70","1,108.70",0.00,0.00,"1,106.17",220.00,"1,100.00","243,357.50",3,8.70,21.70,0.79,2.00,0.23,"1,066.59","1,053.22","1,142.00","1,015.00"
64,GBIME,30.83,244.30,244.30,238.40,239.00,239.00,0.00,0.00,240.90,"107,705.00",244.30,"25,946,042.90",503,-5.30,5.90,-2.17,2.47,-0.79,233.52,237.59,278.90,210.70
65,GBIMEP,37.13,100.00,100.00,100.00,100.00,100.00,0.00,0.00,100.00,"33,286.00",100.00,"3,328,600.00",2,0.00,0.00,0.00,0.00,0.00,108.10,123.91,122.00,100.00
66,GBIMESY2,48.57,9.51,9.70,9.33,9.70,9.70,0.00,0.00,9.52,"8,350.00",9.51,"79,460.00",14,0.19,0.37,2.00,3.97,1.90,0.00,0.00,10.18,8.50
67,GBLBS,34.44,793.10,802.00,783.20,789.00,789.00,0.00,0.00,789.58,"8,518.00",796.00,"6,725,660.30",78,-7.00,18.80,-0.88,2.40,-0.07,797.39,800.58,950.00,698.00
68,GCIL,34.63,435.00,449.00,435.00,440.00,440.00,0.00,0.00,445.24,"61,569.00",441.00,"27,413,222.60",523,-1.00,14.00,-0.23,3.22,-1.19,440.06,463.25,579.00,400.00
69,GFCL,30.03,688.00,689.90,670.30,673.30,673.30,0.00,0.00,677.24,"12,032.00",686.90,"8,148,554.90",130,-13.60,19.60,-1.98,2.92,-0.59,619.15,632.09,756.80,528.30
70,GHL,38.84,266.60,274.50,265.00,267.90,267.90,0.00,0.00,267.02,"271,711.00",272.00,"72,551,145.10",747,-4.10,9.50,-1.51,3.58,0.33,224.34,233.93,318.00,197.10
71,GIBF1,41.97,10.73,11.00,10.73,10.90,10.90,0.00,0.00,10.93,"6,820.00",10.90,"74,548.80",24,0.00,0.27,0.00,2.52,-0.28,10.44,10.55,11.68,9.30
72,GILB,40.72,"1,190.00","1,199.50","1,178.20","1,190.00","1,190.00",0.00,0.00,"1,186.16","4,277.00","1,210.00","5,073,220.20",24,-20.00,21.30,-1.65,1.81,0.32,"1,210.82","1,241.43","1,441.60","1,100.00"
73,GLBSL,32.32,"1,959.90","1,959.90","1,920.00","1,930.00","1,930.00",0.00,0.00,"1,943.51","2,533.00","1,959.90","4,922,905.80",53,-29.90,39.90,-1.53,2.08,-0.70,"2,032.21","2,142.73","3,232.00","1,838.60"
74,GLH,46.30,328.20,328.20,305.80,309.00,309.00,0.00,0.00,312.22,"409,051.00",321.80,"127,713,435.50","1,722",-12.80,22.40,-3.98,7.33,-1.04,260.48,263.28,328.20,227.40
75,GMFBS,31.41,"1,440.10","1,468.00","1,438.00","1,468.00","1,468.00",0.00,0.00,"1,452.51","1,334.00","1,450.00","1,937,654.00",26,18.00,30.00,1.24,2.09,1.05,"1,527.43","1,547.28","1,871.00","1,385.10"
76,GMFIL,32.34,492.00,495.00,482.00,485.00,485.00,0.00,0.00,488.19,"25,002.00",487.10,"12,205,800.70",119,-2.10,13.00,-0.43,2.70,-0.66,465.69,475.61,557.00,393.10
77,GMLI,33.20,"1,740.00","1,758.00","1,700.00","1,735.00","1,735.00",0.00,0.00,"1,730.70","3,595.00","1,759.90","6,221,868.20",107,-24.90,58.00,-1.41,3.41,0.25,"1,848.30","1,987.82","2,778.00","1,694.00"
78,GRDBL,32.25,"1,070.10","1,116.90","1,069.10","1,109.00","1,109.00",0.00,0.00,"1,095.15","19,671.00","1,088.00","21,542,782.20",225,21.00,47.80,1.93,4.47,1.25,"1,111.38","1,170.35","1,668.40",944.00
79,GSY,46.11,9.76,9.97,9.47,9.80,9.80,0.00,0.00,9.77,"6,710.00",9.95,"65,544.70",35,-0.15,0.50,-1.51,5.28,0.32,9.19,9.27,10.40,8.70
80,GUFL,30.61,586.00,586.00,567.60,573.00,573.00,0.00,0.00,576.11,"15,388.00",582.00,"8,865,178.30",114,-9.00,18.40,-1.55,3.24,-0.54,524.96,535.23,644.00,460.60
81,GVL,30.16,521.90,521.90,507.30,510.50,510.50,0.00,0.00,511.50,"53,090.00",513.00,"27,155,352.50",264,-2.50,14.60,-0.49,2.88,-0.20,516.03,507.62,662.00,424.00
82,H8020,32.51,11.76,11.92,11.62,11.62,11.62,0.00,0.00,11.66,"17,100.00",11.81,"199,406.00",18,-0.19,0.30,-1.61,2.58,-0.35,11.06,11.13,12.21,9.99
83,HATHY,29.28,949.00,949.00,930.10,933.00,933.00,0.00,0.00,933.55,"6,574.00",940.00,"6,137,126.20",131,-7.00,18.90,-0.74,2.03,-0.06,960.85,"1,054.86","1,469.80",875.50
84,HBL,34.79,215.00,216.00,210.00,211.90,211.90,0.00,0.00,212.09,"121,248.00",217.00,"25,715,470.20","1,392",-5.10,6.00,-2.35,2.86,-0.09,195.66,206.10,261.00,184.00
85,HBLD83,42.79,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00",0.00,0.00,"1,040.00",30.00,"1,029.60","31,200.00",1,10.40,0.00,1.01,0.00,0.00,"1,047.39","1,048.98","1,111.00","1,024.30"
86,HDHPC,45.13,249.00,253.00,238.40,241.50,241.50,0.00,0.00,245.42,"1,262,453.00",249.00,"309,829,352.20","2,737",-7.50,14.60,-3.01,6.12,-1.62,187.78,192.71,255.00,162.00
87,HDL,31.00,"1,210.00","1,210.00","1,188.00","1,190.00","1,190.00",0.00,0.00,"1,194.52","54,304.00","1,200.00","64,867,441.50",649,-10.00,22.00,-0.83,1.85,-0.38,"1,226.86","1,237.70","1,556.10","1,103.00"
88,HEI,35.27,537.00,540.00,532.00,534.90,534.90,0.00,0.00,535.57,"8,666.00",542.00,"4,641,270.40",65,-7.10,8.00,-1.31,1.50,-0.13,515.24,539.44,654.00,458.00
89,HEIP,34.99,318.50,321.30,315.00,321.30,321.30,0.00,0.00,316.50,573.00,325.00,"181,352.50",5,-3.70,6.30,-1.14,2.00,1.50,335.13,345.56,414.70,293.10
90,HFIN,28.31,121.70,135.10,121.70,135.10,135.10,0.00,0.00,132.19,150.00,122.90,"19,828.00",15,12.20,13.40,9.93,11.01,2.16,0.00,0.00,135.10,101.70
91,HHL,46.88,387.00,392.00,375.50,376.00,376.00,0.00,0.00,381.26,"134,777.00",387.00,"51,385,226.50",619,-11.00,16.50,-2.84,4.39,-1.40,341.85,361.99,551.00,310.70
92,HIDCL,33.39,300.00,300.00,284.70,287.30,287.30,0.00,0.00,291.01,"419,979.00",294.90,"122,216,755.10",976,-7.60,15.30,-2.58,5.37,-1.29,268.69,278.97,340.00,245.00
93,HIDCLP,40.17,226.00,226.00,214.00,216.00,216.00,0.00,0.00,217.44,"1,458,987.00",222.50,"317,246,384.00","1,254",-6.50,12.00,-2.92,5.61,-0.67,189.82,197.40,239.00,167.00
94,HIMSTAR,29.40,966.00,971.00,941.00,941.00,941.00,0.00,0.00,953.28,"14,001.00",966.00,"13,346,886.70",231,-25.00,30.00,-2.59,3.19,-1.31,0.00,0.00,"1,264.00",252.20
95,HLBSL,32.96,941.00,950.00,930.20,946.00,946.00,0.00,0.00,943.16,"2,732.00",940.10,"2,576,720.30",44,5.90,19.80,0.63,2.13,0.30,926.81,945.29,"1,100.00",837.00
96,HLI,32.67,383.00,387.00,380.00,382.70,382.70,0.00,0.00,383.61,"85,362.00",387.00,"32,745,862.70",424,-4.30,7.00,-1.11,1.84,-0.24,377.98,388.22,464.00,354.80
97,HLICF,37.44,9.20,9.25,9.20,9.25,9.25,0.00,0.00,9.24,700.00,9.38,"6,465.00",7,-0.13,0.05,-1.39,0.54,0.15,0.00,0.00,10.55,8.74
98,HPPL,39.18,517.00,557.00,510.00,510.10,510.10,0.00,0.00,515.71,"288,627.00",517.00,"148,847,254.90","1,017",-6.90,47.00,-1.33,9.22,-1.10,478.25,492.95,711.00,411.10
99,HRL,31.28,899.00,899.00,875.00,878.00,878.00,0.00,0.00,878.74,"112,801.00",882.00,"99,122,631.00",853,-4.00,24.00,-0.45,2.74,-0.08,860.93,893.63,"1,139.90",762.10
100,HURJA,43.91,299.00,306.20,293.00,294.30,294.30,0.00,0.00,298.82,"450,009.00",304.70,"134,473,433.20","1,146",-10.40,13.20,-3.41,4.51,-1.54,234.75,241.26,310.00,204.60
101,ICFC,32.43,663.00,674.20,661.00,669.90,669.90,0.00,0.00,665.94,"20,313.00",672.20,"13,527,216.90",124,-2.30,13.20,-0.34,2.00,0.59,647.70,644.05,730.90,555.00
102,ICFCD83,41.06,"1,135.20","1,135.20","1,135.20","1,135.20","1,135.20",0.00,0.00,"1,135.20",10.00,"1,113.00","11,352.00",1,22.20,0.00,1.99,0.00,0.00,"1,223.27","1,222.96","1,368.90","1,113.00"
103,ICFCD88,29.77,"1,145.00","1,149.00","1,135.10","1,149.00","1,149.00",0.00,0.00,"1,143.03",75.00,"1,140.00","85,727.50",3,9.00,13.90,0.79,1.22,0.52,"1,119.18","1,111.36","1,216.00","1,036.80"
104,IGI,33.88,459.00,459.00,448.00,454.00,454.00,0.00,0.00,450.37,"35,012.00",457.00,"15,768,269.80",153,-3.00,11.00,-0.66,2.46,0.80,439.89,474.83,620.00,392.00
105,IHL,29.48,530.00,534.90,524.30,525.00,525.00,0.00,0.00,525.74,"8,845.00",536.00,"4,650,138.90",98,-11.00,10.60,-2.05,2.02,-0.14,549.54,551.66,735.00,490.00
106,ILBS,30.59,952.00,980.00,951.60,970.50,970.50,0.00,0.00,967.10,"4,147.00",970.00,"4,010,560.90",59,0.50,28.40,0.05,2.98,0.35,"1,080.03","1,034.56","1,311.00",795.20
107,ILI,31.64,454.00,458.00,451.60,453.00,453.00,0.00,0.00,454.03,"22,016.00",458.00,"9,995,946.40",306,-5.00,6.40,-1.09,1.42,-0.23,448.85,451.08,500.00,405.00
108,JBBD87,25.84,"1,130.70","1,130.70","1,130.70","1,130.70","1,130.70",0.00,0.00,"1,130.70",25.00,"1,135.00","28,267.50",1,-4.30,0.00,-0.38,0.00,0.00,"1,098.07","1,082.46","1,289.00","1,036.00"
109,JBBL,33.17,370.00,370.00,350.00,356.90,356.90,0.00,0.00,358.08,"130,577.00",363.00,"46,757,636.20",379,-6.10,20.00,-1.68,5.71,-0.33,329.27,334.11,413.00,295.00
110,JBLB,29.59,"1,377.10","1,379.00","1,365.00","1,365.00","1,365.00",0.00,0.00,"1,368.87","4,070.00","1,377.00","5,571,309.60",101,-12.00,14.00,-0.87,1.03,-0.28,"1,410.54","1,399.39","1,644.00","1,270.70"
111,JFL,34.59,450.00,455.00,438.10,442.00,442.00,0.00,0.00,443.93,"15,728.00",450.00,"6,982,123.40",128,-8.00,16.90,-1.78,3.86,-0.44,436.21,453.76,558.00,395.00
112,JHAPA,29.75,"1,477.90","1,477.90","1,419.50","1,450.00","1,450.00",0.00,0.00,"1,434.98","4,853.00","1,508.00","6,963,964.30",118,-58.00,58.40,-3.85,4.11,1.04,0.00,0.00,"1,749.00",293.40
113,JOSHI,30.47,311.50,322.30,310.00,311.00,311.00,0.00,0.00,313.65,"77,568.00",316.80,"24,329,104.60",311,-5.80,12.30,-1.83,3.97,-0.85,304.19,323.36,487.00,254.00
114,JSLBB,47.04,"1,213.00","1,214.90","1,170.00","1,171.00","1,171.00",0.00,0.00,"1,189.66",758.00,"1,193.50","901,765.70",16,-22.50,44.90,-1.89,3.84,-1.59,"1,186.00","1,240.77","1,600.00","1,059.00"
115,KBL,36.16,227.30,227.30,214.50,215.90,215.90,0.00,0.00,217.62,"1,038,884.00",222.90,"226,085,717.80","2,012",-7.00,12.80,-3.14,5.97,-0.80,187.88,196.26,233.50,175.50
116,KBSH,31.48,"1,700.00","1,725.00","1,676.00","1,700.00","1,700.00",0.00,0.00,"1,702.69",313.00,"1,709.00","532,942.90",16,-9.00,49.00,-0.53,2.92,-0.16,"1,767.21","1,826.29","2,625.00","1,618.00"
117,KDBY,37.45,10.25,10.39,10.10,10.30,10.30,0.00,0.00,10.25,"10,799.00",10.45,"110,649.03",37,-0.15,0.29,-1.44,2.87,0.52,9.54,9.65,10.57,8.67
118,KDL,28.37,935.00,935.00,890.00,890.00,890.00,0.00,0.00,902.44,"5,518.00",917.00,"4,979,670.50",95,-27.00,45.00,-2.94,5.06,-1.40,913.74,983.10,"1,212.00",770.00
119,KEF,53.31,9.47,9.75,9.45,9.60,9.60,0.00,0.00,9.52,"29,206.00",9.57,"277,991.88",36,0.03,0.30,0.31,3.17,0.85,9.23,9.29,10.42,8.31
120,KKHC,30.22,290.00,295.00,281.60,292.00,292.00,0.00,0.00,286.58,"351,484.00",293.00,"100,728,683.30","1,277",-1.00,13.40,-0.34,4.76,1.86,247.85,277.92,475.90,208.00
121,KMCDB,37.15,940.00,950.00,934.00,949.70,949.70,0.00,0.00,945.85,"1,970.00",950.00,"1,863,316.90",32,-0.30,16.00,-0.03,1.71,0.41,"1,009.62","1,023.80","1,223.00",893.00
122,KPCL,33.94,545.10,595.00,540.00,547.00,547.00,0.00,0.00,547.54,"232,321.00",547.00,"127,204,784.60",447,0.00,55.00,0.00,10.19,-0.10,555.54,558.55,711.00,491.00
123,KSBBL,32.36,489.00,490.90,481.30,485.00,485.00,0.00,0.00,486.80,"49,335.00",489.00,"24,016,229.30",162,-4.00,9.60,-0.82,1.99,-0.37,458.62,466.93,588.00,404.10
124,KSBBLD87,37.15,"1,135.10","1,135.10","1,135.10","1,135.10","1,135.10",0.00,0.00,"1,135.10",25.00,"1,135.10","28,377.50",1,0.00,0.00,0.00,0.00,0.00,"1,092.61","1,072.06","1,178.10","1,041.30"
125,KSY,23.15,9.61,9.80,9.47,9.49,9.49,0.00,0.00,9.62,900.00,9.80,"8,655.00",7,-0.31,0.33,-3.16,3.48,-1.33,9.14,9.24,10.51,8.21
