S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,37.54,979.00,979.00,950.00,950.00,950.00,0.00,0.00,956.56,"1,549.00",960.00,"1,481,711.70",35,-10.00,29.00,-1.04,3.05,-0.69,973.50,999.47,"1,240.00",827.90
2,ADBL,40.90,318.00,319.00,315.40,316.70,316.70,0.00,0.00,315.96,"14,963.00",317.00,"4,727,750.50",117,-0.30,3.60,-0.09,1.14,0.23,306.67,311.32,344.90,277.00
3,AHL,30.99,505.00,508.00,504.30,505.00,505.00,0.00,0.00,505.42,"3,165.00",508.90,"1,599,649.40",34,-3.90,3.70,-0.77,0.73,-0.08,547.08,576.01,700.00,461.10
4,AHPC,41.92,275.00,289.00,275.00,284.20,284.20,0.00,0.00,284.42,"82,531.00",287.80,"23,473,260.40",276,-3.60,14.00,-1.25,5.09,-0.08,281.76,283.93,334.00,250.10
5,AKJCL,49.89,413.00,424.00,412.50,422.90,422.90,0.00,0.00,417.94,"1,118,022.00",418.00,"467,263,925.80","1,872",4.90,11.50,1.17,2.79,1.17,308.99,271.88,431.80,172.90
6,AKPL,41.75,277.00,279.00,272.40,273.20,273.20,0.00,0.00,274.04,"88,036.00",276.50,"24,125,317.30",299,-3.30,6.60,-1.19,2.42,-0.31,265.02,261.69,317.00,227.50
7,ALBSL,37.31,"1,125.00","1,155.00","1,117.60","1,127.00","1,127.00",0.00,0.00,"1,129.44","2,556.00","1,148.00","2,886,838.10",92,-21.00,37.40,-1.83,3.35,-0.22,"1,145.03","1,096.30","1,334.00",775.10
8,ALICL,37.24,458.50,458.50,449.30,449.30,449.30,0.00,0.00,454.13,"37,205.00",455.20,"16,896,067.50",143,-5.90,9.20,-1.30,2.05,-1.08,465.66,470.04,730.00,430.00
9,ANLB,19.69,"5,899.00","5,990.00","5,890.00","5,890.00","5,890.00",0.00,0.00,"5,897.82",358.00,"6,038.00","2,111,418.00",14,-148.00,100.00,-2.45,1.70,-0.13,"6,224.02","6,162.66","6,989.00","5,220.00"
10,API,38.63,360.00,362.90,355.40,358.80,358.80,0.00,0.00,357.67,"367,226.00",359.80,"131,346,344.20",792,-1.00,7.50,-0.28,2.11,0.31,316.69,307.27,368.90,258.80
11,AVYAN,29.00,"1,090.60","1,156.00","1,090.60","1,139.00","1,139.00",0.00,0.00,"1,142.65","3,573.00","1,148.00","4,082,690.70",82,-9.00,65.40,-0.78,6.00,-0.32,"1,041.77","1,035.97","1,366.00",906.00
