S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
136,LEC,41.46,265.40,269.00,255.00,261.00,261.00,0.00,0.00,260.03,"1,182,568.00",265.30,"307,506,198.70","2,919",-4.30,14.00,-1.62,5.49,0.37,210.42,214.46,275.00,180.00
137,LICN,44.95,883.00,904.00,883.00,896.00,896.00,0.00,0.00,894.93,"149,258.00",880.00,"133,575,570.20",538,16.00,21.00,1.82,2.38,0.12,861.70,875.52,"1,052.00",773.00
138,LLBS,44.94,"1,023.00","1,081.90","1,022.90","1,059.00","1,059.00",0.00,0.00,"1,052.76","7,677.00","1,021.00","8,082,060.30",114,38.00,59.00,3.72,5.77,0.59,979.61,"1,019.47","1,300.50",865.00
139,LSL,46.47,235.00,239.50,231.00,237.00,237.00,0.00,0.00,236.39,"507,275.00",231.00,"119,917,139.30",943,6.00,8.50,2.60,3.68,0.26,221.76,223.43,252.00,201.00
140,LUK,41.12,9.81,10.00,9.81,10.00,10.00,0.00,0.00,9.96,"4,450.00",10.00,"44,300.50",8,0.00,0.19,0.00,1.94,0.45,9.51,9.84,11.97,8.97
141,LVF2,37.99,10.00,10.05,9.87,9.90,9.90,0.00,0.00,9.92,"18,205.00",10.01,"180,667.95",30,-0.11,0.18,-1.10,1.82,-0.24,9.32,9.58,11.45,8.76
142,MABEL,30.16,756.00,763.00,747.00,747.10,747.10,0.00,0.00,750.91,"15,905.00",753.00,"11,943,160.10",297,-5.90,16.00,-0.78,2.14,-0.51,0.00,0.00,927.00,317.70
143,MAKAR,33.89,550.00,551.00,543.20,547.00,547.00,0.00,0.00,545.79,"16,609.00",548.10,"9,065,084.20",164,-1.10,7.80,-0.20,1.44,0.22,561.09,582.16,802.00,515.00
144,MANDU,41.76,832.10,843.00,822.20,835.00,835.00,0.00,0.00,829.66,"6,077.00",831.90,"5,041,855.80",135,3.10,20.80,0.37,2.53,0.64,814.97,837.83,970.00,766.50
145,MATRI,50.07,"1,008.00","1,048.50",990.10,"1,029.90","1,029.90",0.00,0.00,"1,019.78","8,713.00",989.00,"8,885,310.20",136,40.90,58.40,4.14,5.90,0.98,987.93,"1,054.33","1,347.00",904.00
