S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,25.58,"1,035.00","1,070.00","1,030.00","1,039.22","1,037.00",2.22,0.00,"1,044.02","1,330.00","1,046.21","1,388,551.50",35,-6.99,40.00,-0.67,3.88,-0.46,"1,094.70","1,116.01","1,491.00",742.10
2,ADBL,27.12,280.40,282.80,280.00,282.06,282.00,0.06,0.00,281.76,"22,512.00",281.27,"6,342,921.20",167,0.79,2.80,0.28,1.00,0.11,314.51,332.57,428.40,226.10
3,ADBLD83,20.76,"1,111.00","1,111.00","1,111.00","1,100.00","1,111.00",-11.00,-0.01,"1,100.00",18.00,"1,111.00","19,800.00",4,-11.00,0.00,-0.99,0.00,0.00,"1,096.43","1,071.21","1,160.00","1,049.00"
4,AHL,23.78,700.00,718.00,700.00,703.81,703.00,0.81,0.00,707.35,"1,642.00",709.20,"1,161,475.00",37,-5.39,18.00,-0.76,2.57,-0.50,744.88,722.19,904.00,426.10
5,AHPC,40.51,290.00,298.00,281.40,284.36,282.40,1.96,0.01,291.47,"858,538.00",287.11,"250,242,011.20","2,115",-2.75,16.60,-0.96,5.90,-2.50,265.03,265.27,349.00,149.00
6,AKJCL,31.91,209.70,215.90,205.60,206.88,206.50,0.38,0.00,210.78,"325,469.00",205.67,"68,603,569.70",879,1.21,10.30,0.59,5.01,-1.89,206.59,209.20,274.90,150.90
7,AKPL,45.30,238.40,249.00,238.00,240.81,240.90,-0.09,0.00,243.53,"457,733.00",235.85,"111,471,304.50","1,269",4.96,11.00,2.10,4.62,-1.13,241.27,242.40,326.00,157.20
8,ALBSL,36.46,806.95,819.60,793.00,795.43,809.00,-13.57,-0.02,797.24,"7,554.00",806.95,"6,022,332.60",99,-11.52,26.60,-1.43,3.35,-0.23,877.63,940.73,"1,177.00",720.00
9,ALICL,30.11,730.00,732.00,721.00,721.60,721.10,0.50,0.00,724.47,"27,064.00",721.45,"19,607,136.40",108,0.15,11.00,0.02,1.53,-0.40,744.03,737.51,831.00,523.00
10,ANLB,24.98,"5,285.00","5,349.00","5,280.00","5,300.11","5,300.10",0.01,0.00,"5,298.58",908.00,"5,320.12","4,811,106.40",45,-20.01,69.00,-0.38,1.31,0.03,"5,134.74","4,736.09","6,735.00","1,910.00"
11,API,32.32,294.90,300.00,286.60,287.51,288.70,-1.19,0.00,293.68,"346,763.00",292.34,"101,838,746.00","1,022",-4.83,13.40,-1.65,4.68,-2.15,279.65,284.40,390.00,162.00
12,AVYAN,26.95,"1,010.00","1,050.00","1,000.00","1,002.93","1,002.00",0.93,0.00,"1,010.86","8,420.00","1,029.58","8,511,475.70",89,-26.65,50.00,-2.59,5.00,-0.79,"1,068.39","1,041.27","1,306.80",690.90
13,BARUN,33.07,566.40,589.00,551.00,562.40,552.10,10.30,0.02,566.79,"168,084.00",577.81,"95,268,277.10",478,-15.41,38.00,-2.67,6.90,-0.78,461.74,426.93,589.00,211.00
14,BBC,26.94,"6,033.90","6,139.00","5,914.00","5,949.90","5,949.90",0.00,0.00,"5,956.18",437.00,"5,915.60","2,602,849.00",27,34.30,225.00,0.58,3.80,-0.11,"5,523.76","5,174.60","7,247.00","3,631.00"
15,BEDC,46.38,807.50,807.50,747.00,791.30,780.00,11.30,0.01,792.05,"29,155.00",823.89,"23,092,203.50",211,-32.59,60.50,-3.96,8.10,-0.09,717.84,637.09,"1,080.00",337.20
16,BFC,33.50,509.90,530.00,492.60,502.74,505.00,-2.26,0.00,505.34,"55,518.00",502.57,"28,055,385.30",343,0.17,37.40,0.03,7.59,-0.52,650.38,630.80,951.60,369.00
17,BGWT,42.94,980.20,996.90,980.20,993.92,981.00,12.92,0.01,987.23,"6,549.00",990.83,"6,465,400.50",66,3.09,16.70,0.31,1.70,0.67,"1,035.60","1,014.31","1,361.70",580.00
18,BHDC,37.47,544.90,544.90,513.90,517.61,520.00,-2.39,0.00,522.78,"12,929.00",537.40,"6,759,011.50",129,-19.79,31.00,-3.68,6.03,-1.00,645.57,639.55,829.70,460.10
19,BHL,37.89,220.00,227.00,220.00,223.04,223.90,-0.86,0.00,224.35,"588,236.00",220.29,"131,972,382.00","1,578",2.75,7.00,1.25,3.18,-0.59,357.52,383.83,520.00,211.70
20,BHPL,37.84,"1,013.80","1,094.00","1,000.70","1,085.89","1,088.90",-3.01,0.00,"1,033.10","5,559.00","1,034.46","5,743,028.80",83,51.43,93.30,4.97,9.32,4.86,936.52,854.53,"1,275.00",468.20
21,BNHC,26.39,511.00,528.00,511.00,512.95,516.00,-3.05,-0.01,514.53,"4,229.00",518.86,"2,175,940.00",71,-5.91,17.00,-1.14,3.33,-0.31,514.20,532.88,742.00,422.00
22,BNT,40.03,"12,920.00","13,100.00","12,920.00","13,100.00","13,100.00",0.00,0.00,"13,040.00",30.00,"12,870.00","391,200.00",3,230.00,180.00,1.79,1.39,0.46,"13,688.85","14,186.49","18,100.00","12,300.00"
23,BOKD86,29.64,"1,070.00","1,070.00","1,060.10","1,061.10","1,061.10",0.00,0.00,"1,062.65",70.00,"1,076.00","74,385.50",3,-14.90,9.90,-1.38,0.93,-0.15,"1,024.55",995.76,"1,080.00",950.00
24,BPCL,38.45,453.00,454.50,431.20,446.06,446.00,0.06,0.00,443.65,"78,291.00",445.66,"34,733,775.10",433,0.40,23.30,0.09,5.40,0.54,417.01,420.59,536.50,284.40
25,C30MF,44.18,9.39,9.39,9.04,9.20,9.20,0.00,0.00,9.08,"7,600.00",9.21,"69,041.00",6,-0.01,0.35,-0.11,3.87,1.26,9.29,9.52,10.92,8.13
26,CBBL,28.20,835.00,836.00,826.80,827.49,829.50,-2.01,0.00,831.00,"10,917.00",834.92,"9,072,077.00",158,-7.43,9.20,-0.89,1.11,-0.42,893.90,929.63,"1,155.00",800.00
27,CBLD88,37.49,"1,135.10","1,178.00","1,135.10","1,178.00","1,178.00",0.00,0.00,"1,177.94",333.00,"1,135.10","392,253.00",2,42.90,42.90,3.78,3.78,0.01,"1,119.24","1,097.01","1,254.20","1,018.00"
